epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1299,1.33456,2.86911,1.64246,0.57454,0.85,0.87817,0.63489,1.64739,1.07188,1.38135,0,0,0
2,24.4978,1.20404,2.69452,1.511,0.56575,0.85,0.8488,0.6319,1.64479,1.06182,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,31.1705,1.16003,3.63444,1.57307,0.55956,0.85,0.85083,0.63276,1.66528,1.06255,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,36.9148,1.27732,2.74091,1.38869,0.56026,0.85,0.84952,0.61586,1.65912,1.05502,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,44.2574,1.37198,3.08577,1.72643,0.56732,0.85,0.85526,0.63771,1.65728,1.0423,1.36955,4.5715e-06,4.5715e-06,4.5715e-06
6,52.0102,1.56155,4.11462,1.96474,0.54414,0.85,0.8936,0.63825,1.6841,1.06002,1.37585,5.65548e-06,5.65548e-06,5.65548e-06
7,61.4267,1.13979,1.91352,1.4195,0.53943,0.85172,0.89406,0.64255,1.68261,1.06058,1.37526,6.71588e-06,6.71588e-06,6.71588e-06
8,68.4842,1.3752,4.01955,1.6139,0.55028,0.85949,0.85911,0.61257,1.64196,1.05874,1.35111,7.75273e-06,7.75273e-06,7.75273e-06
9,75.7661,1.11606,2.70415,1.41075,0.56882,0.86386,0.81827,0.59503,1.66343,1.0607,1.3616,8.76602e-06,8.76602e-06,8.76602e-06
10,83.6219,1.18718,3.44837,1.59581,0.57994,0.86406,0.81418,0.59503,1.65522,1.05791,1.35488,9.75574e-06,9.75574e-06,9.75574e-06
11,90.3309,1.20778,2.47023,1.45298,0.5906,0.86371,0.85595,0.61995,1.65234,1.06452,1.35418,1.07219e-05,1.07219e-05,1.07219e-05
12,97.4024,0.99168,2.00752,1.36622,0.58559,0.86401,0.85561,0.62083,1.66134,1.07502,1.36177,1.16645e-05,1.16645e-05,1.16645e-05
13,102.8,0.87069,2.23939,1.1318,0.5904,0.86667,0.85501,0.62082,1.64815,1.07477,1.35173,1.25835e-05,1.25835e-05,1.25835e-05
14,108.089,1.08371,2.19093,1.48417,0.59767,0.86667,0.88803,0.62731,1.6514,1.09529,1.35615,1.3479e-05,1.3479e-05,1.3479e-05
15,114.761,0.92895,1.64945,1.12293,0.60689,0.86667,0.88802,0.62731,1.65042,1.10288,1.35724,1.43509e-05,1.43509e-05,1.43509e-05
16,120.944,1.2228,2.48029,1.6233,0.61014,0.86667,0.87512,0.62676,1.66198,1.12442,1.36685,1.51993e-05,1.51993e-05,1.51993e-05
17,127.71,0.84422,1.78523,1.19123,0.62054,0.7,0.87291,0.6263,1.66112,1.13499,1.36987,1.60241e-05,1.60241e-05,1.60241e-05
18,133.662,1.15556,1.55073,1.36001,0.62054,0.7,0.87291,0.6263,1.66112,1.13499,1.36987,1.68253e-05,1.68253e-05,1.68253e-05
19,139.289,0.97781,1.9053,1.13526,0.77382,0.65,0.86227,0.61119,1.6682,1.17904,1.37901,1.7603e-05,1.7603e-05,1.7603e-05
20,146.002,0.89621,1.53655,1.2105,0.77382,0.65,0.86227,0.61119,1.6682,1.17904,1.37901,1.83571e-05,1.83571e-05,1.83571e-05
21,152.259,1.29016,2.49628,1.71274,0.7701,0.65,0.85531,0.61435,1.68157,1.21329,1.38673,1.90876e-05,1.90876e-05,1.90876e-05
22,160.181,1.08401,2.34037,1.51972,0.7701,0.65,0.85531,0.61435,1.68157,1.21329,1.38673,1.97946e-05,1.97946e-05,1.97946e-05
23,166.298,1.05957,1.82291,1.4726,0.74442,0.65,0.85529,0.61925,1.68004,1.23465,1.38393,2.0478e-05,2.0478e-05,2.0478e-05
24,176.861,1.12309,2.21327,1.53769,0.74442,0.65,0.85529,0.61925,1.68004,1.23465,1.38393,2.11379e-05,2.11379e-05,2.11379e-05
25,183.883,0.83384,1.46895,1.2101,0.71121,0.65763,0.85534,0.61104,1.68028,1.27677,1.38362,2.17741e-05,2.17741e-05,2.17741e-05
26,191.634,1.15577,1.86128,1.45051,0.71121,0.65763,0.85534,0.61104,1.68028,1.27677,1.38362,2.23869e-05,2.23869e-05,2.23869e-05
27,198.741,0.9166,1.66996,1.3966,0.70371,0.66921,0.85545,0.61336,1.70132,1.3057,1.39852,2.2976e-05,2.2976e-05,2.2976e-05
28,205.17,0.80306,1.24288,1.1418,0.70371,0.66921,0.85545,0.61336,1.70132,1.3057,1.39852,2.35417e-05,2.35417e-05,2.35417e-05
29,211.436,0.99784,1.52817,1.27209,0.70025,0.67263,0.85543,0.61078,1.67028,1.31307,1.37825,2.40837e-05,2.40837e-05,2.40837e-05
30,216.802,1.26556,2.34512,1.59836,0.70025,0.67263,0.85543,0.61078,1.67028,1.31307,1.37825,2.46022e-05,2.46022e-05,2.46022e-05
31,223.293,0.97673,1.4329,1.29242,0.68807,0.66667,0.85203,0.60885,1.68006,1.3499,1.38391,2.50971e-05,2.50971e-05,2.50971e-05
32,231.312,0.81119,1.26084,1.21262,0.68807,0.66667,0.85203,0.60885,1.68006,1.3499,1.38391,2.55685e-05,2.55685e-05,2.55685e-05
33,237.976,0.78875,1.31539,1.35171,0.6703,0.69046,0.85231,0.60726,1.66572,1.38232,1.38006,2.60163e-05,2.60163e-05,2.60163e-05
34,243.982,1.05627,1.25083,1.30958,0.6703,0.69046,0.85231,0.60726,1.66572,1.38232,1.38006,2.64405e-05,2.64405e-05,2.64405e-05
